uid	followers_count	friends_count	statuses_count	favourites_count	listed_count	created_year	name_words	screen_name_length	description_length
202388889	0.000252375254175	0.00669863950904	0.00857889826314	0.0409345352491	0.000580759007349	0.4	0.125	0.75	0.22754491018
1392518336	0.000290519422819	0.00286598296068	0.0175261099855	0.0137446234099	0.00254640487838	0.7	0.125	0.666666666667	0.952095808383
361208576	0.000151856973282	0.00196738497776	0.00711650379128	0.00217732833044	0.000625432777145	0.5	0.25	0.416666666667	0.77245508982
1535215357	0.000569763525346	0.00827799353963	0.170159913197	0.169457917696	0.00154124505796	0.7	0.125	0.666666666667	0.341317365269
4396196375	0.000300355340519	0.0033833575569	0.034540924874	0.0532072694549	0.00180928767674	0.9	0.0	0.833333333333	0.874251497006
17938477	8.01267441961e-05	0.0017223128006	0.0050170265792	0.0156321497209	0.00127320243919	0.2	0.25	1.0	0.239520958084
720288026681716737	1.67930302207e-05	0.000238264616683	0.00898793434066	7.05439126323e-05	0.00201031964082	1.0	0.125	0.75	0.51497005988
174004739	9.02025623285e-05	0.00641272196902	0.0511928559858	0.254257420457	0.000625432777145	0.4	0.125	0.75	0.0
53783678	0.000184243531565	0.0037203318005	0.0364395038356	0.135713141759	0.00120619178449	0.3	0.25	0.5	0.724550898204
257662370	0.000187122336745	0.00476529233367	0.0176238442695	0.0181660107989	0.000670106546941	0.5	0.25	0.916666666667	0.526946107784
4795355113	7.00509260636e-05	0.001385338557	0.000700429035408	0.000795048961289	0.000178695079184	1.0	0.25	0.916666666667	0.958083832335
1633971270	2.73486492166e-05	0.000200823034062	0.00697442710063	0.0113995149629	4.46737697961e-05	0.7	0.0	0.833333333333	0.479041916168
2803810119	1.391422504e-05	0.0011096323577	0.00352567380097	0.0155425398859	6.70106546941e-05	0.8	0.0	0.583333333333	0.0
2244770588	0.011368641559	0.0826403804065	0.0113516560984	0.00379411854428	0.00538318926043	0.7	0.0	0.916666666667	0.766467065868
102071251	8.32454498085e-05	0.00267196748709	0.00516362800522	0.00136702663128	0.000513748352655	0.4	0.125	0.25	0.622754491018
